Группа навыков,Навык,"Минимальные знания, применение для самых простых задач","Уверенные знания, применение для повседневных задач","Глубокие знания, применение знаний, внедрение на проекте, адаптация, обучение","Очень глубокие знания, применение для задач любой сложности"
Виды тестирования,,,,,
,Функциональное тестирование,"Знаю теорию и применяю в работе
• Понимаю, что проверяет функциональное тестирование
• Использую функциональное тестирование в работе",,,
,Тестирование безопасности,"Поверхностно знаком с теорией
• Знаю принципы безопасности ПО
• Знаю виды уязвимостей","Хорошо разбираюсь в теории
• Знаю методы тестирования безопасности
• Понимаю, как могут измениться подходы к тестированию с использоваением тестирования безопасности","Применяю знания
• Применяю знания в проекте по необходимости","Глубокие знания в теории и неоднократное применение
• Разбираюсь в продвинутых техниках тестирования безопасности
• Слежу за обновлениями в сфере безопасности и тестирования
• Сертификат (?)"
,Тестирование производительности,"Поверхностно знаком с теорией
• Знаю виды тестирования производительности и разницу между ними (нагрузка, стресс, объемное, стабильности)
• Знаю зачем производится тестирование производительности","Хорошо разбираюсь в теории
• Понимаю, как могут измениться подходы к тестированию с использованием тестирования производительности
• Могу проанализировать результаты и выработать стратегию тестирования
• Могу использовать инструменты и делал это в пробном режиме по инструкции","Применяю на практике
• Уверенно использую инструменты на проекте или занимался внедрением вида тестирования на проекте","Сертификация
• ISTQB
• Micro Focus Certification (инструментные)"
,Тестирование юзабилити,"Знаю теорию
• Знаю аспекты тестирования удобства использования
• Знаю уровни проведения тестирования удобства использования","Умею выполнять
• Инициирую и умею проводить тестирование удобства использования","Сертификация
• ISTQB
• UXQB",
,Тестирование локализации,"Знаю теорию
• Понимаю для чего нужно тестирование локализации
• Понимаю на что, следует обратить внимание при тестировании локализации","Умею выполнять
• Пишу проверки на локализацию или адаптирую существующие","Внедряю на проекте
• Инициирую тестирование локализации на проекте при необходимости",
,Инсталляционное тестирование,"Знаю теорию
• Понимаю, что такое тестирование инсталляции
• Знаю какие действия нужно провести для инсталляционного тестирования (установки и удаления)
• Знаю и понимаю, что такое накат
• Знаю и понимаю, что такое миграция
• Знаю и понимаю чем отличается накат от миграции
• Знаю и понимаю, что такое бесшовная авторизация","Умею выполнять
• Знаю особенности тестирования инсталляции (что проверить при установке, что при удалении)
• Понимаю когда нужно проводить тестирование инсталляции
• Знаю когда нужно проводить и провожу тестирование миграции и накат","Внедряю на проекте
• Инициирую необходимость тестирования инсталляции на проекте (?)",
,Конфигурационное тестирование,"Знаю теорию
• Знаю что такое конфигурационное тестирование и как его проводят на мобильных устройствах
• Знаю уровни проведения конфигурационного тестирования (?)","Умею выполнять
• Подбираю нужные конфигурации
• Веду матрицу покрытия, анализирую используемые конфигурации
• Провожу приоритезацию конфигураций","Адаптирую под условия проекта
• Подстраиваю процесс конфигурационного тестирования под нужды проекта (например, проверяю различное поведение сети для стриминга видео)",
,Типы автоматизированного тестирования,"Поверхностно знаком с теорией
• Знаю какие есть типы автоматизированного тестирования и как они соотносятся с ручным тестированием","Хорошо разбираюсь в теории
• Знаю детали автотестирования, могу определить целесообразность тестирования на проекте
• Понимаю, как могут измениться подходы к тестированию с использоваением автоматизированного тестирования","Умею на практике
• Применяю автоматизацию тестирования на комерческом проекте или обладаю  нужными знаниями чтобы начать (прошел стажировку в автоматизации)","Хорошие знания в теории и навыке
• Имею опыт автоматизации на нескольких проектах
• Самостоятельно развиваю автоматизацию на текущих проектах
• Могу самостоятельно построить процесс автоматизации на новом проекте и/или стеке технологий"
,Регрессионное тестирование,"Знаю технику
• Знаю этот вид тестирования
• Знаю подвиды тестирования: Повторное тестирование всех, Повторное тестирование рискованных случаев использования,  Повторное тестирование по профилю, Повторное тестирование измененного сегмента, Повторное тестирование в брандмауэре","Умею применять технику
• Понимаю в каком случае его можно использовать
• Знаю, когда и на какой стадии проекта нужно регрессионное тестирование
• Применяю в проекте","Хорошо разбираюсь в технике
• Могу аргументировать необходимость регрессионного тестирования или определить тип регрессионного тестирования",
Основы тестирования,,,,,
,Уровни тестирования,"Поверхностно знаю теорию
• Знаю уровни тестирования (Модульное, системное итд)
• Знаю что такое пирамида тестирования
• Знаю уровни независимости тестирования (положение относительно разработки)","Хорошо разбираюсь в теории
• Знаю различные варианты пирамид
• Знаю почему это пирамида, а не другая фигура (и почему фигуга в форме мороженого плохая)
• Понимаю  почему различные виды тестирования распределяются по уровням в   пирамидах тестирования и как это влияет на процесс тестирования","Глубоко разбираюсь в теории и применяю
• Улучшаю работу на проекте элементами с других уровней тестирования
• Предлагаю изменение уровня независимости в случае необходимости и аргументирую позицию (например запросить пентесты для безопасности)",
,Циклы тестирования,"Поверхностно знаю теорию
• Знаю о том, какие бывают циклы тестирования","Хорошо разбираюсь в навыке
• Знаю детали о циклах тестирования
• Понимаю и применяю циклы тестирования в работе; Могу выбрать нужный подход","Глубоко разбираюсь в навыке
• Могу объяснить принципы работы студии
• Могу внедрить подходы в проект, модернизировать работу, опираясь на определения циклов тестирования",
,Базовые понятия,"Знаю базовую теорию
• Знаю что такое качество и какая цель тестирования
• Знаю что такое и чем отличаются QC и QA
• Знаю принципы тестирования и работаю в соответствии с ними
• Знаю классификацию тестирования","Хорошо знаю теорию
• Знаю что такое статическое тестирование
• Знаю что такое динамическое тестирование
• Знаю что такое операционное тестирование
• Знаю чем отличается Верификация от Валидации",,
,Техники тест-дизайна,"Разбираюсь в навыке на базовом уровне
• pairwise
• переходы и состояния
• граничные значения и классы эквивалентности
• тестирование условий (со стороны черного ящика)
• интуитивное тестирование","Хорошо разбираюсь в навыке
• диаграмма пользовательских ролей
• парное тестирование
• pairwise
• переходы и состояния
• таблица принятий решений
• исследовательское тестирование (плюс знаю чем отличается от интуитивного)","Глубоко разбираюсь в навыке
• парное тестирование
• диаграмма пользовательских ролей
• шаблонное тестирование (анализ причин багов в коде)
• тестирование условий (со стороны белого ящика)
• угадывание ошибок",
Работа с мобильными устройствами,,,,,
,Особенности мобильного тестирования,"Владею на базовом уровне
• Знаю особенности мобильного тестирования в целом (например тестирование прерываний)
• Умею пользоваться основными инструментами Debug-screen (сменить сервер)
• Знаю что геолокацию можно подменять
• Знаю как можно проверять верстку приложений, но не было опыта
• Применяю знания и в зависимости от них расширяю чек-листы и тест-кейсы для конкретного проекта и фичи","Применяю знания
• Понимаю отличия Debug-screen на разных платформах и особенности их реализации
• Аргументирую необходимость Debug-screen на проекте или его доработок (например, сделать чтобы прокси запоминался на Flutter для тестирования запросов на старте приложения)
• Тестирую утечки памяти
• Тестирую геолокацию с помощью подмены на всех платформах (и на симуляторах)
• Тестирую верстку приложений с помощью различных инструментов",,
,Firebase,"Умею пользоваться
• Умею скачивать сборки
• Умею смотреть краши в Crashlytics
• Умею смотреть аналитику
• Умею пользоваться Remote Config","Хорошо разбираюсь в инструменте
• Умею шарить сборки и создавать группы для постоянного шаринга
• Могу тестировать аналитику через DebugView
• Анализирую Performance инструмент для выявления проблем у пользователей
• Инициирую необходимость использования Remote Config","Глубоко разбираюсь в инструменте
• Умею самостоятельно собирать сборку в Firebase",
,Тестирование пушей,"Владею навыком на начальном уровне
• Умею проверять получение пушей
• Умею отправлять простые пуши","Хорошо разбираюсь в навыке
• Умею проверять пуши в сложных ситуациях (закрытое приложение, диплинки)
• Проверяю отложенные или автоматические пуши",,
,Работа с крашами,"Поверхностно обладаю навыком
• Знаю и умею заводить краши
• Пользуюсь системами мониторинга крашей для сбора информации
• Мониторю систему по необходимости и разбираю/завожу баги с чьей-то помощью","Хорошо разбираюсь в навыке
• Знаю, как посмотреть логи с устройства и приложить их в баг
• Первично понимаю stacktraces
• Инициирую подключение системы мониторинга крашей к проекту
• Завожу краши с описанием шагов воспроизведения, если это возможно","Глубокое понимание навыка
• Умею разбирать stacktraces
• Знаю как расшифровать обфусцированый stacktrace
• Понимаю, как можно попытаться воспроизвести баг на устройстве по ним",
,Работа с устройствами,"Умею собирать
• Знаю, что такое Симулятор и Эмулятор, и чем они отличаются
• Умею использовать симуляторы и эмуляторы
• Использую необходимые для тестирования устройства (не забываю про планшеты, Huawei итд)
• Знаю и использую критерии выбора устройств для тестирования","Хорошо разбираюсь в инструменте
• Веду таблицу покрытия устройствами и чередую их
• Подбираю устройства опираясь на особенности проекта и аналитику
• Слежу и анализирую девайс-специфик баги
• Инициирую необходимость закупки новых устройтсв при необходимости на проекте",,
Особенности мобильного тестирования,,,,,
,Жизненный цикл мобильного приложения,"Имею базовое представление
• Знаю что приложения могут менять состояние и что это нужно проверять
• Знаю про тестирование прерываний","Хорошо понимаю теорию и знаю детали реализации
• Знаю какие состояния есть у Android и iOS приложений и когда они их меняют (например когда приложение уходит в задний фон, а когда выгружается из памяти)
• Знаю как устроена работа с состояниями приложения на Flutter в зависимости от платформы","Глубоко разбираюсь в теории
• Использую знания для составления дополнительных проверок учитывающих жизненный цикл приложения (например фичи с таймером)
• Учитываю риски в связи с особенностями архитектуры (например использовали Compose и потратили много времени)",
,Системные особенности iOS,"Поверхностно знаком с теорией
• Знаю про системные особенности iOS-приложений и как они влияют на тестирование","Хорошо разбираюсь в теории и применяю знания
• Понимаю и знаю все детали и особенности iOS
• Применяю знания
• Могу выбрать необходимое устройство для тестирования","Глубокие знания в теории
• Могу объяснить другому о деталях тестирования устройств в зависимости от системных особенностей
• Слежу за изменениями и новыми ОС",
,Системные особенности Android (+Huawei),"Поверхностно знаком с теорией
• Знаю про системные особенности Android-приложений и как они влияют на тестирование","Хорошо разбираюсь в теории и применяю знания
• Понимаю и знаю все детали и особенности Android (в том числе Huawei)
• Применяю знания
• Могу выбрать необходимое устройство для тестирования","Глубокие знания в теории
• Могу объяснить другому о деталях тестирования устройств в зависимости от системных особенностей
• Слежу за изменениями и новыми ОС",
Алгоритмы работы с фичами,,,,,
,Биометрическая аутентификация,"Умею тестировать фичу
• Знаю алгоритм тестирования фичи, могу применить и применяю","Понимаю тонкости тестирования фичи
• Могу изменить существующих алгоритм под нужны проекта и внедрить его, аргументировав изменения",,
,Определение местоположения,"Умею тестировать фичу
• Знаю алгоритм тестирования фичи, могу применить и применяю","Понимаю тонкости тестирования фичи
• Могу изменить существующих алгоритм под нужны проекта и внедрить его, аргументировав изменения",,
,Кэширование,"Умею тестировать фичу
• Знаю алгоритм тестирования фичи, могу применить и применяю","Понимаю тонкости тестирования фичи
• Могу изменить существующих алгоритм под нужны проекта и внедрить его, аргументировав изменения",,
,Пуш-уведомления,"Умею тестировать фичу
• Знаю алгоритм тестирования фичи, могу применить и применяю","Понимаю тонкости тестирования фичи
• Могу изменить существующих алгоритм под нужны проекта и внедрить его, аргументировав изменения",,
,Dynamic/Deep links,"Умею тестировать фичу
• Понимаю, что такое Deep/Dynamic links
• Понимаю отличия
• Знаю как и могу тестировать","Понимаю тонкости тестирования фичи
• Могу настроить нужные параметры для работы с Deep/Dynamic links в Firebase/AppGallery
• Глубоко понимаю суть и смысл работы Deep/Dynamic links
• Могу внести изменения в алгоритмы тестирования для нужд проекта, аргументировав решение",,
,"Браузер, WebView, CustomTabs/SafariInApp","Умею тестировать фичу
• Знаю отличия
• Могу тестировать
• Понимаю какой вид может использоваться и для чего
• Понимаю, как изменится процесс тестирования в зависимости от выбранной технологии","Понимаю тонкости тестирования фичи
• Могу объяснить, когда лучше использовать какой вид и аргументировать свою точку зрения",,
,Парсинг текстов,"Поверхностно знаком
• Знаю про регулярные выражения
• Знаю что есть разметки вроде HTML, Markdown и другие","Умею тестировать
• Знаю как тестировать регулярные выражения
• Умею тестировать верстку HTML и подобные
• Адаптирую тесты под особенности требований к фиче",,
,Apple/Google/Samsung Pay/СберPay,"Умею тестировать фичу
• Знаю суть и особенности тестирования оплат
• Знаю детали работы на продовом и тестовом сервере","Понимаю тонкости тестирования фичи
• Понимаю риски и могу аргументировать необходимость тестовых данных для работы и тестирования Apple/Google/Samsung Pay/СберPay
• Могу инициировать необходимость заведения карт и необходимых устройств на проекте",,
Клиент-серверное взаимодействие,,,,,
,Аутентификация и Авторизация,"Обладаю знаниями
• Знаю, что такое Авторизация
• Знаю, что такое Аутентификация
• Понимаю отличия
• Поверхностно знаю как работает авторизация по токенам
• Знаю что такое и для чего нужны Cookies","Умею тестировать
• Знаю как должна работать авторизация по access и refresh токенам
• Знаю как тестировать получение и обновление токенов, и какие могут быть сложности
• Знаю как тестировать Cookies
• Могу подсказывать и учить других QA по тестированию авторизации по токенам",,
,Charles,"Умею использовать
• Умею использовать на уровне своего навыка в Работе со снифферами",,,
,Proxyman,"Умею использовать
• Умею использовать на уровне своего навыка в Работе со снифферами",,,
,Fiddler,"Умею использовать
• Умею использовать на уровне своего навыка в Работе со снифферами",,,
,Postman,"Умею использовать
• Умею использовать на уровне своего навыка в Работе с API инструментами",,,
,Мокирование,"Поверхностно представляю концепцию
• Понимаю зачем нужны моки, но не имею практического опыта","Могу использовать на достаточном для проектной работы уровне, хорошо понимаю теорию
• Умею получать JSON запроса или ответа по документации OpenAPI
• Пользовался хотя бы одним инструментом для отображения документации (Swagger / Apiary)
• Умею писать моки по OpenAPI документации или по существующем ответам с сервера",Глубоко разбираюсь в инструменте и теории,
,Работа с снифферами,"Владею на базовом уровне
• Умею подменять запросы и ответы с помощью breakpoint и rewrite функций
• Умею настраивать прокси и SSL на устройствах
• Умею выгружать логи для баг отчетов","Хорошо разбираюсь в инструменте
• Умею пользоваться ограничением скорости
• Умею работать с map local/remote
• Умею делать моки из запросов через mirror",,
,Работа с API инструментами,"Умею использовать
• Умею отправлять запросы
• Умею создавать и редактировать коллекции
• Умею задавать и использовать переменные
• Умею выгружать логи","Хорошо разбираюсь в инструменте
• Умею использовать скрипты для автоматизации переменных (например авторизоваться одним запросом чтобы другие работали сразу)","Глубоко разбираюсь в инструменте
• Умею автоматизировать API тесты с использованием инструмента и могу помочь с настройкой CI/CD для тестов",
,Paw,"Умею использовать
• Умею использовать на уровне своего навыка в Работе с API инструментами",,,
,Apollo,"Умею использовать
• Умею использовать на уровне своего навыка в Работе с API инструментами",,,
,Клиент-серверные технологии,"Знаю основные технологии
• Знаю что такое HTTP(S) и в чем отличие
• Знаю что такое REST, и умею тестировать мобильные приложения использующие его","Хорошо разбираюсь 
• Знаю что такое GraphQL и умею тестировать МП которые используют его
• Знаю что такое Websocket, для чего применяется и умею тестировать МП с его применением","Глубоко разбираюсь
• Знаю что такое SOAP и умею тестировать МП с его использованием",
Артефакты тестирования,,,,,
,Декомпозиция,"Знаю и применяю в работе
• Понимаю зачем и для чего используется декомпозиция
• Применяю в работе","Глубоко разбираюсь в навыке (?)
• Могу изменить работу с техникой декомпозиции и на ее основе внедрить новый процесс в работу студии
• Могу помочь другому в работе с этой техникой",,
,Чек-листы,"Знаю и применяю в работе
• Знаю определение Чек-листа
• Понимаю, как его писать
• Применяю в работе","Хорошо разбираюсь в навыке
• Создаю шаблонные чек-листы для более комфортной работы на проекте (чек-лист проверки мп после изменений в профиле)
• Понимаю, чем он отличается от компонентных проверок студии
• Могу помочь другому в работе с этой техникой","Глубоко разбираюсь в навыке
• Создаю шаблонные чек-листы для более комфортной работы в студии (чек-лист проверки верстки, чек-лист миграции, ...)
• Могу ввести их в процесс студии
• Могу привнести процесс работы студии на другой проект, если это  корректно и поможет проекту; Аргументирую клиенту эту необходимость
• Могу отойти от структуры проверок в студии если того требует проект",
,Тест-кейсы,"Понимаю и использую в работе
• Знаю определение Тест-кейса
• Понимаю, как его писать
• Умею формулировать тестовые условия из требований","Хорошо разбираюсь в навыке
• Могу отойти от структуры проверок студии, когда понимаю, что это не навредит проекту/сотрудникам/студии
• Фиксирую изменения с привычным процессом студии
• Понимаю, чем он отличается от компонентных проверок студии
• Могу помочь другому в работе с этой техникой","Глубоко разбираюсь в навыке
• Могу внедрить новый процесс работы с проверками
• Могу привнести процесс работы студии на другой проект, если это корректно и поможет проекту; Аргументирую клиенту эту необходимость",
,Основной бизнес-сценарий,"Понимаю и применяю в работе
• Знаю определение основного бизнес-сценария
• Понимаю, как его писать
• Применяю в работе","Хорошо разбираюсь в навыке
• Могу отойти от структуры проверок студии, когда понимаю, что это не навредит проекту/сотрудникам/студии
• Фиксирую изменения с привычным процессом студии
• Понимаю, чем он отличается от сценарных проверок студии
• Могу помочь другому в работе с этой техникой","Глубоко разбираюсь в навыке
• Могу внедрить новый процесс работы с проверками
• Могу привнести процесс работы студии на другой проект, если это  корректно и поможет проекту; Аргументирую клиенту эту необходимость",
,Полнота покрытия требований,"Поверхностно владею навыком
• Знаю, что такое матрицы трассировки
• Знаю методы оценки полноты покрытия требований","Хорошо владею навыком и применяю в работе
• Применяю методы оценки полноты покрытия требований в работе","Глубоко владею навыком
• Анализирую оценки полноты
• Веду статус покрытия требований
• Могу изменить работу с методом для улучшения ситуации на проекте
• Могу инициировать процесс работы с полнотной покрытия требований в студии
• Могу помочь другому в работе с этой техникой",
,Критерии качества требований,"Поверхностно знаком с навыком
• Знаю критерии качества требований","Хорошо разбираюсь в навыке
• Применяю знания для ревью требований","Глубоко разбираюсь в навыке
• Могу аргументировать и донести необходимость требований соответствовать критериям
• Предугадываю риски/планы при отсутствии соответствия требований критериям их качества
• Могу помочь другому в работе с этой техникой",
,Use-cases,"Поверхностно знаком с навыком
• Знаю, что такое Use-Cases
• Понимаю, как они могут повлиять на процесс тестирования","Хорошо разбираюсь в навыке
• Адаптирую работу с Use-Cases в положительную сторону для процесса тестирования","Глубоко разбираюсь в навыке
• Участвую в ревью/составлении Use-Cases
• Изменяю процесс тестирования студии, опираясь на определение и процесс работы с Use-Cases
• Могу помочь другому в работе с этой техникой",
Дизайн,,,,,
,HIG,Понимаю на достаточном для проектной работы уровне,Глубоко разбираюсь в навыке,Слежу за обновлениями,
,Material Design,Понимаю на достаточном для проектной работы уровне,Глубоко разбираюсь в навыке,Слежу за обновлениями,
,Figma,"Могу использовать на достаточном для проектной работы уровне
• Знаю такой инструмент
• Могу посмотреть дизайн
• Могу оставить комменты","Хорошо разбираюсь в инструменте
• Могу посмотреть отступы
• Могу выгрузить пакеты или скопировать в виде скриншота
• Умею пользоваться плагинами для  более быстрой работы","Глубоко разбираюсь в инструменте
• Умею создавать и редактировать макеты на базовом уровне
• Умею управлять  правами доступа у макетов и команд",
Работа с дефектами,,,,,
,Содержание баг-репортов,"Могу использовать на достаточном для проектной работы уровне
• Умею создавать баг-репорты с необходимой информацией
• Прикладываю шаги воспроизведения","Хорошо разбираюсь в навыке
• Прикладываю графическое доказательство, логи запросов, ссылки на крашлитикс
• Понимаю отличия доработок и багов и завожу соответствующе","Глубоко разбираюсь в навыке
• Понимаю какая информация будет нужна в зависимости от бага
• Могу  высказать предположение о проблеме в баг-репорте
• Избегаю лишних подробностей чтобы не  усложнять репорт",
,Классификация дефектов по приоритету и важности,"Знаю и применяю в работе
• Знаю критерии важности
• Знаю критерии приоритета
• Понимаю отличия
• Понимаю особенности приоритезации студии
• Применяю знания в работе проекта","Хорошо разбираюсь в навыке
• Могу изменить работу проекта исходя из целей проекта, опираясь на определения приоритета и важности
• Могу помочь другому в работе с этой техникой",,
,Мониторинг жизненного цикла дефектов,"Знаю и применяю
• Знаю жизненный цикл дефектов (описан дефект, подтвержден и назначен, открыт повторно или отклонен, исправлен, проверен, закрыт)
• Понимаю для чего нужен мониторинг ЖЦ дефектов
• Применяю в работе
• Знаю что такое ретест и выполняю его на проекте","Хорошо владею навыком
• Аргументирую важность мониторинга цикла дефектов
• Меняю жизненный цикл дефектов в случае необходимости на проекте (например демо)
• Меняю процесс ретеста в зависимости от ситуации на проекте",,
Подходы управления тестированием,,,,,
,Критерии выбора подхода,"Знаю теорию
• Знаю критерии выбора подхода управления тестированием: цели, риски, сроки, ресурсы и квалификация, природа системы и технологии
• Знаю, зачем нужно понимать цели проекта/продукта и как влияет на процесс тестирования","Применяю на практике
• Применяю знания для выбора подходящего подхода для текущего проекта","Анализирую
• Применяю знания для контроля и помощи в управлением тестирования для других проектов",
,Тестирование на основе рисков,"Поверхностно знаком с теорией
• Знаю виды рисков
• Знаю, что такое успех проекта и успех продукта
• Знаю, цель тестирования, основанного на рисках
• Понимаю подходы к такому виду тестирования","Хорошо разбираюсь в подходе
• Использую элементы тестирования на основе рисков в работе для более эффективного тестирования
• Доношу информацию об обнаруженных рисках заинтересованным лицам","Глубоко разбираюсь в подходе
• Провожу анализ рисков и аргументирую их
• Могу построить процесс тестирования на основе рисков",
,Аналитические подходы,"Поверхностно знаком с теорией
• Знаю что такое Root Cause Analysis
• Знаю этапы решения проблем по RCA","Хорошо разбираюсь в подходе
• Понимаю отличия от подхода основанного на моделях
• Использую элементы из RCA для решения проблем на проекте
• Доношу информацию о находках заинтересованным лицам","Глубоко разбираюсь в подходе
• Нахожу и решаю проблемы полноценно используя RCA",
,Подходы на основе моделей,"Поверхностно знаком с теорией
• Знаю отличия от аналитического подхода
• Слышал про различные модели, такие как TMMi, TPI, STEP, CTP","Хорошо знаком с подходом
• Знаю подробности моделей и их отличия
• Применяю элементы одной или нескольких моделей в работе для решения проблем
• Доношу находки до заинтересованных лиц","Глубоко знаком с подходом
• Использую одну или несколько моделей для улучшения процессов тестирования на проекте или в студии",
,Подходы разработки продукта и его особенности,"Поверхностно знаком с теорией
• Знаю что есть проектный и продуктовый подходы
• Понимаю отличия в общем и целом","Умею работать по проектному подходу
• Умею работать следуя процессам студии
• Понимаю этапы разработки в проектном подходе","Умею работать по продуктовому подходу
• Имею опыт работы по продуктовому подходу
• Знаю как меняется процесс тестирования в продуктовом подходе
• Обучаю других QA этому подходу и особенностям",
,Понимание целей проекта/продукта,"Поверхностно знаком с концепцией
• Знаю, зачем нужно понимать цели проекта/продукта
• Понимаю, как это знание может изменить процесс тестирования","Применяю навык
• Применяю знания и меняю процесс тестирования на проекте по необходимости","Глубокое понимание навыка
• Применяю знания и опыт для помощи другим проектам в работе с их целями, чтобы изменить процесс тестирования",
,Управление ожиданиями,"Владею теорией
• Знаю, что такое управление ожиданиями
• Понимаю, что нужно сделать, чтобы минимизировать разницу между ожиданиями и происходящим
• Понимаю важность коммуникации","Владею навыком
• Применяю в рамках команды или студии
• Синхронизирую то, над чем и как работает команда тестирования
• Слежу за отклонением от целей проекта","Хорошо владею навыком
• Управляю ожиданиями и на стороне заказчика
• Подсказываю и обучаю других по работе с ожиданиями",
Планирование тестирования,,,,,
,Разработка плана тестирования,"Поверхностно владею навыком
• Знаю и понимаю, для чего нужен план тестирования
• Приоритезирую задачи в рамках своих активностей
• Умею составлять план проекта","Хорошо владею навыком
• Планирую тестирование на проекте
• Приоритизирую задачи проекта и балансирую между командой с учетом их ставок
• Изменяю процесс тестирования на проекте под изменения скоупа
• Использую информацию из плана для уведомления заинтересованных лиц
• Могу изменить привычные инструкции по планированию тестирования, если того требует проект","Глубоко владею навыком
• Могу проанализировать эффективность плана тестирования на проекте и модернизировать его
• Приоритезирую задачи других людей как в рамках одного или нескольких проектов
• Могу помочь другим с планированием тестирования",
,Разрешение конфликтов и зависимостей,"Поверхностно знаю теорию
• Знаю что такое зависимость в управлении проектом
• Знаю виды зависимостей (FS, SS, FF, SF)
• Знаю различие между ролями управляемыми количеством работы и ролями управляемыми зависимостями","Хорошо знаю теорию, применяю в работе
• Знаю какие есть зависимости в процессе работы и их типы
• Вижу проблемы с зависимостями и предлагаю решения на основе опыта","Глубоко разбираюсь в навыке
• Анализирую цепи зависимостей и учитываю эту информацию в планировании
• Аргументирую будущие проблемы на проекте в связи с проблемами с зависимостями",
,"Контроль и актуализация направления навыков и инструментов, которые нужны для выполнения тестирования на проекте","Владею навыком на базовом уровне
• Учитываю свой прошлый опыт при распределении задач
• Изучаю необходимые навыки и инструменты на проекте
• Выношу полезный опыт на обсуждение на собраниях или в базу знаний","Хорошо владею навыком
• Учитываю опыт других сотрудников при распределении задач
• Инициирую запрос сотрудника с другого проекта для помощи с навыком или инструментом
• Собираю опыт использования в отделе и формирую как часть процесса","Глубоко владею навыком
• Ищу, собираю и использую опыт извне для распределения задач (конференции например)
• Анализирую успешность в использовании новых навыков и инструментов, рассматриваю альтернативы, их плюсы и минусы
• Изучаю и рассматриваю новые навыки и инструменты в долгорочной перспективе, до их прямой востребованности",
