Группа навыков,Навык,"Минимальные знания, применение для самых простых задач","Уверенные знания, применение для повседневных задач","Глубокие знания, применение знаний, внедрение на проекте, адаптация, обучение","Очень глубокие знания, применение для задач любой сложности"
,Отчет по итогам тестирования,"Поверхностно знаком с теорией
• Знаю, что представляет из себя отчет по тестированию и для чего он нужен
• Знаю элементы и параметры, какие должны быть отражены в отчете по тестированию","Владею навыком
• Выгружаю прогоны и/или коротко описываю результаты тестирования команде и клиенту","Хорошо владею навыком
• Знаю основные шаблоны отчетов по тестированию и умею их заполнять
• Помогаю с разработкой отчетов по тестированию",
Процесс тестирования,,,,,
,Критерии входа и выхода,"Знаком с концепцией
• Знаю что такое критерии входа и выхода в тестировании
• Знаю виды критериев выхода из тестирования - успешный и аварийный","Владею навыком
• Знаю критерии входа и выхода для каждого этапа разработки процесса
• Использую критерии входа и выхода для принятия решений по тестированию",,
,Ведение тестовой документации,"Владею навыком
• Веду и поддерживаю документацию в рамках своего проекта
• Делаю ревью тестовой документации в рамках своего проекта","Хорошо владею навыком
• Делаю ревью тестовой документации в рамках других проектов
• Помогаю решать проблемы в документации на других проектах",,
,Поддержка релизов,"Знаю теорию
• Понимаю, какие активности нужно выполнять в случае, если приложение в релизе
• Знаю что такое SLA","Владею навыком
• Применяю знания на проекте
• Понимаю особенности поддержки приложений и применяю этот опыт
• Подсказываю или помогаю при поддержке других проектов","Хорошо владею навыком
• Имею опыт работы по SLA
• Имею опыт обучения сотрудников для SLA",
,Приемочное тестирование,"Знаю теорию
• Знаю, что такое Alpha/Beta тестирование
• Знаю, что такое UAT
• Знаю для чего нужно приемочное тестирование
• Знаю что такое A/B тестирование","Владею навыком
• Понимаю, как изменяются процессы тестирования с наличием этих видов тестирования
• Участвовал в одном из видов приемочного тестирования","Хорошо владею навыком
• Имею большой опыт в приемочном тестировании
• Могу раскатить нужный вид приемки на пользователей и построить процесс сбора фидбека",
,Сбор и выполнение тестовых прогонов,"Обладаю навыком на базовом уровне
• Знаю виды прогонов: по фиче, смоук, санити, регресс, фулл
• Знаю цели этих прогонов
• Знаю состав этих прогонов","Хорошо разбираюсь в навыке
• Собираю статистику регресса по фичам и использую ее для принятия решения о добавлении ее в регресс
• Адаптирую прогоны к нуждам проекта",,
,Анализ импакт-отчетов,"Обладаю теоритическими знаниями
• Знаю что такое импакт и почему его надо тестировать
• Могу посмотреть импакт по комментарию разработчика в задаче","Глубоко разбираюсь в инструменте и теории
• Регулярно работаю с импакт отчетами
• По импакту принимаю решение о дополнительных активностях
• Знаю планы на фичу в будущем чтобы тестировать соответствующе (например, если фичу полностью перепишут через 2 спринта, много времени на ее тестирование вряд ли стоит закладывать, зато стоит посмотреть импакт от переписывания)",,
Системы ведения тестов,,,,,
,Xray,"Могу использовать на достаточном для проектной работы
• Cоздавать чек-листы и папки
• Cобирать и выполнять прогоны
• Прикладывать дефекты в тестах прогона","Хорошо разбираюсь в инструменте
• Пользоваться кастомными фильтрами
• Выгружать тесты в различных вариантах
• Менять тесты массово через bulk","Глубоко разбираюсь в инструменте
• Автоматизировать маппинг ручных проверок с автоматическими
• Строить интеграцию с CI/CD
• Пользоваться тест-планами",
,Allure,"Могу использовать на достаточном для проектной работы
• Создавать и редактировать тест-кейсы
• Прикреплять артефакты к тестам
• Менять статусы тестов
• Вносить проверки по фичам в общие
• Заводить баги
• Создавать и выполнять прогоны","Хорошо разбираюсь в инструменте
• Менять тесты массово через bulk
• Выгружать тесты
• Создавать и редактировать деревья
• Управлять кастомными полями","Глубоко разбираюсь в инструменте
• Автоматизировать ручные тесты и отслеживать историю запусков
• Строить интеграцию с CI/CD
• Пользоваться тест-планами
• Администрировать права пользователей",
,TestRail,"Могу использовать на достаточном для проектной работы уровне
• Создавать и редактировать тест-кейсы
• Выполнять прогоны
• Пользоваться деревом
• Переиспользовать
• Редактировать тест-кейсы bulk","Хорошо разбираюсь в инструменте
• Пользоваться фильтрами
• Выгружать тесты
• Делать отчеты
• Пользоваться Конфигурациями по платформам
• Трекать и пользоваться предсказаниями по оценке","Глубоко разбираюсь в инструменте
• Автоматизировать кейсы
• Строить интеграцию с CI/CD
• Настраивать интеграцию с Jira
• Работать с покрытием требований
• Распределять нагрузку по пользователям
• Администрировать доступами пользователей",
,TestIT,"Могу использовать на достаточном для проектной работы уровне
• Создавать тест-кейсы и чеклисты
• Создавать и выполнять тест-планы
• Пользоваться секциями","Хорошо разбираюсь в инструменте
• Распределять тест-план на нескольких QA
• Выгружать отчеты
• Импортировать и экспортировать тесты","Глубоко разбираюсь в инструменте
• Администрировать проекты
• Автоматизировать тест-кейсы
• Строить интеграцию с CI/CD",
,Zephyr,"Могу использовать на достаточном для проектной работы уровне
• Создавать и редактировать чек-листы и тест-кейсы
• Создавать и планировать циклы тестирования
• Заводить баги
• Пользоваться фильтрами","Хорошо разбираюсь в инструменте
• Пользоваться тестовыми циклами
• Выгружать тесты
• Анализировать тестовые метрики
• Делать матрицу трассировки
• Импорт/экспорт тестов","Глубоко разбираюсь в инструменте
• Автоматизировать тесты
• Писать BDD фичи для автоматизации
• Строить интеграцию с CI/CD",
Оценка работ тестирования,,,,,
,Методы оценки тестирования,"Умею на базовом уровне
• Имею опыт в оценке задач, но делаю это без стандартного подхода","Хорошо владею навыком
• Знаю методы оценки: экспертный, дедуктивный, индуктивный
• Оцениваю по методу студии
• При отсутствии внешних факторов попадаю в оценку ±10%","Глубоко владею навыком
• Большой опыт оценки
• Подбираю методы оценки в зависимости от ситуации
• Попадаю в оценки с учетом внешних факторов и рисков и учитываю их в оценке
• Обучаю людей как оценивать задачи",
,Факторы влияющие на оценку,"Обладаю поверхностными знаниями
• Знаю что есть дополнительные факторы, но без конкретики","Владею навыком
• Знаю факторы влияющие на оценку и имею представление как их оценивать","Хорошо владею навыком
• Системно отслеживаю влияние факторов на оценку
• Анализирую процесс на предмет появления новых факторов и учитываю их в будущем",
,Сбор статистики и анализ результатов,"Владею навыком на базовом уровне
• Понимаю необходимость сбора и анализа статистики
• Анализирую попадание в оценки, но без системного подхода","Хорошо владею навыком
• Систематически анализирую попадание в оценки
• Анализирую причины и риски для улучшения точности",,
Методологии разработки и управления,,,,,
,V model,"Знаю поверхностно
• Слышал про методологию
• Знаю плюсы и минусы с точки зрения качества
• Знаю этапы жизни проекта в этой методологии","Хорошо знаю теорию и могу работать
• Знаю последовательность QA активностей и как они соотносятся с этапами V модели
• Работал на проекте по V модели",,
,Waterfall,"Знаю поверхностно
• Слышал про методологию
• Знаю плюсы и минусы с точки зрения качества
• Знаю этапы жизни проекта в этой методологии","Хорошо знаю теорию и могу работать
• Знаю последовательность QA активностей и как они соотносятся с этапами каскадной модели
• Работал на проекте по водопаду",,
,Scrum,"Знаю поверхностно
• Слышал про методологию
• Знаю плюсы и минусы с точки зрения качества
• Знаю этапы жизни проекта в этой методологии","Хорошо знаю теорию и могу работать
• Знаю последовательность QA активностей и как они соотносятся с этапами разработки по Scrum
• Знаю и умею пользоваться артефактами Scrum: диаграммой сгорания задач, беклог, user story итд
• Знаю роли в методологии Scrum: Master, Product Owner, Development Team, Пользователи, Стейкхолдеры
• Работал на проекте по Scrum",,
,Kanban,"Знаю поверхностно
• Слышал про методологию
• Знаю плюсы и минусы с точки зрения качества
• Знаю этапы жизни проекта в этой методологии","Хорошо знаю теорию и могу работать
• Знаю последовательность QA активностей и как они соотносятся с этапами разработки по Kanban
• Умею пользоваться доской с ограничениями в колонках итд
• Знаю и использую метрики (velocity, lead/cycle speed итд)
• Работал на проекте по Kanban",,
,Scrumban,"Знаю поверхностно
• Слышал про методологию
• Знаю плюсы и минусы с точки зрения качества
• Знаю этапы жизни проекта в этой методологии","Хорошо знаю теорию и могу работать
• Знаю последовательность QA активностей и как они соотносятся с этапами разработки по Scrumban
• Умею работать с планированием ""в ведрах""
• Умею работать с упрощенной версией kanban доски
• Работал на проекте по Scrumban",,
Управление проектом,,,,,
,Инициация обсуждений по тест анализу/планированию/дизайну с тех и не-тех вовлеченными лицами,"Инициирую внутри студии
• Инициирую встречи для планирования сборок
• Инициирую встречу для обсуждения проблем внутри проекта (по тестированию и общих)
• Участвую на ретро внутри команды","Инициирую на всех вовлеченных лиц
• Инициирую встречи для обсуждения целей проекта
• Инициирую встречу для обсуждений процесса тестирования вне студии
• Участвую на ретро с клиентом",,
,Участие в создании User Stories/ТЗ,"Владею навыком на базовом уровне
• Поддерживаю созданные User Stories/ТЗ в актуальном состоянии
• Помогаю с созданием US/ТЗ по необходимости","Хорошо владею навыком
• Создаю User Stories/ТЗ по необходимости в проекте
• Шарю созданную документацию на команду и клиента",,
,Инициация внезапных или запланированных обсуждений по приоритезации багов,"Владею на базовом уровне
• Инициирую встречу для обсуждения приоритезации задач и багов внутри проекта
• Участвую в встречах для обсуждения беклога","Хорошо владею навыком
• Инициирую встречу для обсуждения приоритезации задач и багов на клиента
• Инициирую обсуждения беклога как внутри так и снаружи компании",,
,Влияние на проект/продукт,"Следую процессам
• Следую процессам тестирования студии
• Понимаю почему процессы  такие и могу объяснить их, опираясь на общие определения  тестирования (приводя аргументы без частностей студии)","Влияю в студии
• Предлагаю идеи по улучшению продукта внутри команды (например по поводу UX)
• Предлагаю изменения в процессах внутри команды (например доп фильтрация багов перед демо)
• Неявно учитываю опыт пользователей при анализе (думаю о пользователях но не собираю фидбек напрямую)","Влияю на продукт/проект в целом
• Предлагаю идеи по улучшению продукта заказчику/команде заказчика (например на The Hole предложил нарезку клипов и особую вотермарку чтобы не могли вырезать)
• Предлагаю и меняю процессы на стороне заказчика (например на Сигме выстраиваю процесс т.к. проект был не наш)
• Активно собираю и учитываю опыт пользователей при анализе (собираю опыт пользователей, в комментах или же через a/b или uat тестирование)",
,Jira,"Могу использовать на достаточном для проектной работы уровне
• Умею создавать задачи
• Понимаю жизненный цикл задач
• Умею трекать время и мониторить таймшит
• Базово умею пользоваться фильтрами (Basic режим с галочками)","Хорошо разбираюсь в инструменте
• Понимаю зачем нужны эпики и спринты и выбираю их при создании багов/задач
• Могу выгружать задачи в разных вариантах
• Хорошо умею пользоваться фильтрами (умею строить запросы JQL)","Могу администрировать
• Умею администрировать (например создать доску для QA на проекте или поменять жизненный цикл задач)",
,Confluence,"Умею пользоваться
• Разбираюсь в разделах (знаю в каких что лежит)
• Умею редактировать страницы, оставлять комментарии
• Умею пользоваться поиском","Хорошо разбираюсь
• Умею работать с правами
• Хорошо разбираюсь с редактором текста (Заголовки, различные макросы итд)",,
Личная производительность,,,,,
,Масштаб задач,"Выполняет небольшие рабочие задачи
• Задачи в рамках проекта под контролем лида","Выполняет рабочие задачи
• Ведёт проект в рамках своей роли
• Может выполнить небольшие внепроектные задачи",Может взять задачу любой сложности и самостоятельно довести её до результата,
,Лидерство,"Проявляет лидерствие качества
- Предлагает решения задач, стоящих перед командой
- Умеет скоординировать работу команды в небольших задачах
- Теоретически понимает, как мотивировать команду","Берет на себя ответственность за более значимые проекты или задачи
- Координирует общение, старается улучшать формат дискуссий, фиксирует договоренности
- Эффективно распределяет задачи и ресурсы
- Умеет разрешать конфликты и поддерживать высокий моральный дух в команде
- Мотивирует команду
- Планирует и организует команду вне своего проекта (проект сотрудника, задача отдела и проч)","Имеет опыт управления крупными проектами и/или множеством команд
- Умеет адптироваться к изменяющимся условиям
- Умеет находить подходящие решения
- Не теряет контекст проектов и задач, все держит под контролем
- Понимает и пользуется техниками задержки внимания
- Понимает и пользуется техниками по подавлению эмоционального выгорания",
,Самостоятельность,Несамостоятелен,Нуждается в периодическом контроле,Самостоятелен,
,Прозрачность,"Непрозрачен
• Часто без предупреждения пропадает.
• В рабочее время в мессенджере постоянно оффлайн и может подолгу не отвечать.
• Не может объяснить, над чем работал в последнее время.
• Обещанные задачи не делает в срок, чем наносит ущерб команде.",Прозрачен,,
,Ответственность,"Недостаточно ответственный
• старается как можно скорее бросить текущую задачу и перейти к следующей, независимо от реального статуса текущей задачи;
• забывает о задаче сразу же после её заведения;
• если по его текущей задаче возникают проблемы, не проявляет инициативы по их решению;",Ответственный,,
,Проактивность,Непроактивен,"Проактивен
• вносит предложения по оптимизации существующего рабочего процесса;
• вносит предложения по улучшению технического состояния проекта;
• вносит предложения по улучшению создаваемого продукта.",,
,Селф-менеджмент,"Справляется с некоторой помощью
• Планирует свою загрузку на неделю совместно с наставником
• Знает как декомпозировать сложные задачи на небольшие
• Согласовывает сроки выполнения и ожидаемый результат с наставником","Справляется сам
• Равномерно распределяет свою работу
• Отказывается от задач, которые не влезут или запрашивает для них доп. ресурсы; просит дополнительные, если есть время
• Предупреждает о горящих сроках заинтересованных лиц заранее, чтобы они могли учесть это при планировании","Помогает другим
• Помогает другим с тайм-менеджементом (советует инструменты, литературу)",
,Принятие решений в условиях неопределённости,"Теряется в условиях неопределённости
• требования к задаче оказалась непроработанными — не пытается восстановить требования, ожидая, что проблему кто-то обнаружит и решит за него, ничего при этом не делая.",Сохраняет контроль в любых условиях,Помогает другим,
,Развитие себя ,"Изучает новое с помощью наставника
• Совместно с руководителем ставит себе четкие цели на обучение
• Отслеживает развитие по своим целям
• Способен овладеть новой информацией или навыком с помощью опытного коллеги.","Самостоятельно изучает новое
• Способен овладеть новой информацией или навыком без сторонней помощи.
• Берет задачи в работу, которые раньше не делал, чтобы научиться
• Находит в задачах возможности для роста",,
,Техника брейншторма,"- Понимает основные принципы и методы брейншторма
- Умеет участвовать в брейншторминговых сессиях","- Способен самостоятельно организовать и провести брейншторм (как для себя/сотрудника, так и для лидов)
- Понимает как стимулировать участников к генерации идей
- Умеет анализировать и классифицировать полученные в ходе брейншторма идеи и выделять более преспективные для дальнейшей работы","- Владеет различными техниками и инновационными подходами к брейнштормингу (обратный брейншторминг, SCAMPER, шесть шляп мышления Эдварда де Боно)","- Способен разрабатывать собственные методики и подходы, адаптируя их под конкретные задачи и команды
- Обладает навыками обучения и менторства
- Способен передавать свои знания и навыки команде, повышая общую эффективность"
,Рациональное/критическое мышление,"- Понимает основные принципы критического мышления
- Может идентифицировать очевидные логические ошибки в простых аргументах
- Применяет базовые стратегии для решения проблем в знакомых ситуациях под руководством более опытных коллег","- Анализирует и критикует аргументы и утверждения в рамках своего проекта, выявляя неочевидные логические ошибки и предвзятости
- Применяет методы критического мышления для решения более сложных задач самостоятельно
- Способен различать сильные и слабые аргументы, используя критическое мышление для оценки различных взглядов и подходов в рамках своей области знаний","- Развивает сложные аргументации и стратегии решения проблем, включая предвидение потенциальных возражений и критики
- Использует критическое мышление для анализа и решения междисциплинарных задач, выходящих за рамки своего основного поля знаний
- Вносит вклад в разработку методологий, улучшая процессы и подходы в своей организации с помощью критического анализа","- Лидирует в разработке и реализации сложных стратегий, подходов и проектов, основываясь на глубоком критическом анализе и оценке
- Способен критически оценивать и синтезировать информацию из различных источников для создания новых знаний и инновационных решений
- Обладает выдающейся способностью к обучению, менторству и развитию критического мышления у других, внося значительный вклад в культуру и стандарты организации"
,Умение работать с фидбеком,Старается искать в обратной связи точки роста и учится давать фидбек,"Проактивно принимает фидбек и растёт в проблемных зонах, даёт обратную связь","Дает развивающую обратную связь
• Намечает план и помогает найти решение проблемы сформированной в рамках фидбека
• Помогает начинающим коллегам давать и воспринимать фидбек в конфликтных и спорных ситуациях",
,Сертификация ISTQB Core,Foundation Level,Advanced Level,Expert Level,2x Expert Level
,Сертификация ISTQB Agile,Foundation Level,Advanced Level,,
,Сертификация ISTQB Specialist,Foundation Level,Advanced Level,2x Advanced Level,
Коммуникация и коллаборация,,,,,
,Эмоциональный интеллект,"- Умеет распознавать и идентифицировать свои эмоции, понимает, как они влияют на его мысли и поведение
- Старается контролировать свои эмоциональные реакции в простых ситуациях, избегает импульсивных действий","- Эффективно управляет своими эмоциями даже в стрессовых ситуациях, использует эмоциональный опыт для принятия обдуманных решений
- Распознаёт и понимает эмоции других, проявляет сочувствие и поддержку, может адаптировать своё общение и поведение в соответствии с эмоциональным состоянием других","- Умеет строить эффективные взаимоотношения, работать в команде, управлять конфликтами, вдохновлять и влиять на других, учитывая их эмоциональное состояние
- Использует свой высокий эмоциональный интеллект для лидерства, мотивации команды, управления изменениями и достижения целей, оказывает положительное влияние на организационную культуру","- Развивает и поддерживает высокий уровень эмоционального интеллекта в команде и организации, создаёт сильную, взаимоподдерживающую и взаимоуважительную культуру, способствующую инновациям и устойчивому развитию"
,Письменная коммуникация,"Коммуницирует неэффективно
• склонен к демагогии;
• трудно понять смысл сообщений;
• сообщения содержат множество избыточных деталей;
• в сообщениях отсутствует весь необходимый для понимания ситуации контекст;
• сообщения не содержат конкретики.",Коммуницирует эффективно,,
,Устная коммуникация,"Коммуницирует неэффективно
• склонен к демагогии;
• трудно понять смысл реплик;
• описывает множество избыточных деталей;
• в репликах недостаточно конкретики.",Коммуницирует эффективно,,
,Техпиар,Занимался техпиаром в прошлом,Занимается техпиаром,"Сделал выдающийся вклад в IT-бренд команды
• является медийным лицом команды;
• ведёт регулярный информационный проект на профессиональную тему;
• регулярно выступает на конференциях федерального уровня;
• не является ""звездой"", но выпускает качественный контент с высокой регулярностью.",
,Английский язык,A1/A2,B1,B2,C1
Работа с сотрудниками,,,,,
,Мотивация людей,"Знает, как давать позитивную обратную связь","Умеет работать с сотрудниками
• Анализирует поведение сотрудника и подбирает правильную мотивацию
• Применяет инструменты нематериальной мотивации
• Проводит мотивационные беседы","Помогает другим
• Проводит эффективные мотивационные встречи на большой аудитории (команда, департамент)
• Помогает другим анализировать сотрудников и находить подходящие инструменты для мотивации",
,Проведение личных встреч и 1-1,"- Участвует в регулярных встречах 1-1 с наставником или руководителем, готовится к ним, заранее формулируя вопросы и темы для обсуждения","- Проводить встречи 1-1 с коллегами или подчиненными, планирует их содержание, ставит цели и отслеживает прогресс
- Умеет обсуждать как сильные, так и слабые стороны, предлагая пути улучшения","- Активно способствует созданию культуры открытости и честности в команде, где каждый чувствует себя комфортно давать и получать обратную связь.
- Проводит глубокие и продуктивные встречи 1-1, которые способствуют личному и профессиональному росту сотрудников. Умеет определять и обсуждать проблемные зоны, стимулировать мотивацию и развитие
- Слышал что-то о техниках коучинга","- Обладает техниками коучинга
- Способен выявлять потенциал сотрудников и направлять их развитие
- Проводит стратегические встречи 1-1, нацеленные на долгосрочное развитие и карьерное продвижение сотрудников. Умеет работать с различными типами личности, адаптируя подход и стиль общения"
,Анализ навыков сотрудника/Грейдирование,"Знает
• Знает навыки необходимые для роли
• Изучил материалы на карте навыков, поправил недочеты (опечатки итд) если нашел","Умеет
• Регулярно проводит объективную оценку навыков сотрудников
• Проводит 1:1 с сотрудником, где обсуждает результаты обратной связи по росту навыков","Может улучшить работу
• Создает и меняет карту навыков, описания уровней у навыков, грейды
• Обладает широким опытом и знаниями для формирования карты навыков для роли",
,Построение взаимоотношений в команде,"Строит взаимоотношения со всеми участниками команды, наставниками и лидом","Строит взаимоотношения с сотрудниками в компании, с другими командами","Использует взаимоотношения, чтобы лучше позиционировать и усилять свою команду",
,Менторство,"Менторит коллег
• Онбордит новых участников команды
• Является наставником у участников команды
• Помогает закрепить полученные знания на практике и перевести их в рабочий навык","Менторит коллег и способствует их активному росту
• Составляет план развития сотруднику
• Проводит 1:1 с сотрудником, где обсуждает вектор развития сотрудника и проблемы c персональным ростом
• Проводит регулярные встречи, на которых отслеживает прогресс сотрудника по плану развития и корректирует его",,
,Найм,"• Осуществляю поддержку процесса найма под руководством опытных коллег
• Задаю уточняющие вопросы
• Фиксирую фидбек по ходу интервью
• Предоставляю свое мнение по кандидату в развернутой форме","• Веду процесс найма в рамках своей роли, работая над более широким спектром задач
• Готовлюсь к кандидату заранее и адаптирую список вопросов
• Слежу за таймингом интервью и корректирую ответы кандидата (приостанавливаю если надо итд)
• Способен самостоятельно организовывать и проводить собеседования, оценивать кандидатов и взаимодействовать с нанимающими менеджерами для определения потребностей в подборе персонала
• Формирую итоговый фидбек по кандидату для кандидата или клиента (в случае найма в инхаус клиента)","• Обладаю глубокими знаниями и опытом в найме и способен разрабатывать и реализовывать стратегии поиска и привлечения талантов
• Веду процесс найма на стратегическом уровне, включая анализ рынка труда, брендинг работодателя
• Обращаю внимание на мельчайшие детали и точно знаю искомые качества",
,Стажировки,Вырастил 1+ стажёра в качестве ментора,Вырастил 3+ стажёров в качестве ментора,Вырастил 5+ стажёров в качестве ментора,Вырастил 8+ стажёров в качестве ментора
Инструменты и технологии,,,,,
,CI/CD,"Имею поверхностное представление
• Понимаю для чего нужен инструмент в процессе разработки","Умею пользоваться
• Умею скачивать сборки
• Понимаю какие джобы бывают
• Знаю как посмотреть статус сборки","Хорошо разбираюсь в инструменте
• Умею запускать/повторять билд
• Могу понять почему упала сборка по логам
• Умею поддерживать и создавать джобы для своих нужд
• Умею шарить сборки в основные платформы (Firebase итд)","TestOps
• Умею писать пайплайны включая работу с артефактами, параллельными билдами и зависимостями
• Знаю как настроить новую ноду для ее целей
• Знаю как администрировать и разбираюсь в IaC
• Знаю как мониторить состояние инфры через имеющиеся у нас сервисы"
,Git,"Могу собрать сборку
• Знаю зачем нужен Git и VCS
• Знаю основные команды (add/commit/clone/push/checkout/pull)
• Использую хотя бы один GUI клиент
• Могу в GUI клиенте перейти на нужную ветку (чтобы собрать сборку)
• Знаю что такое теги","Умею пользоваться
• Умею пользоваться стешем
• Знаю что такое теги
• Знаю что такое хэшкоммита
• Знаю как делать мерж и исправлять конфликты
• Знаю что такое форс пуш и когда он может возникнуть
• Знаю для чего нужны PR/MR'ы и как их открывать и обновлять","Глубоко разбираюсь в инструменте
• Знаю что такое ""переписывать историю"" и знаю как и когда это можно делать
• Знаю что такое ребейз и интерактивный ребейз, умею его делать в GUI и знаю когда его делать нельзя
• Знаю как решать проблемы (например, что делать если запушили чувствительные данные)
• Знаю какой процесс по работе с git используется в автотестах и могу ему соответствовать
• Могу разобраться в git glow разработчиков на проекте и подстроиться (работа с ветками, нейминг, PR и ревью)",
,Работа с терминалом,"Умею пользоваться
• Знаю что такое терминал :)
• Знаю основные команды (как перемещаться по папкам, как показать содержимое текущей папки итд)
• Знаю применения терминалу в работе (например сборки)","Хорошо разбираюсь в инструменте
• Знаю зачем нужен файл .zshrс
• Знаю зачем нужны переменные среды (например PATH)
• Могу без помощи изменить версию Java или Flutter","Глубоко разбираюсь в инструменте
• Умею делать sh скрипты
• Понимаю тонкости работы с правами (sudo, chmod итд)
• Умею пользоваться SSH",
,Jenkins,Умею пользоваться на уровне навыка CI/CD,,,
,Gitlab CI,Умею пользоваться на уровне навыка CI/CD,,,
,Github Actions,Умею пользоваться на уровне навыка CI/CD,,,
,TeamCity,Умею пользоваться на уровне навыка CI/CD,,,
Работа со сборками,,,,,
,Сборка iOS ,Умею собирать по инструкции,"Умею собирать самостоятельно
• Понимаю базово какие зависимости есть у iOS приложений (поды, гемы)
• Знаю зачем добавляются UDID в профиль разработчиков","Хорошо разбираюсь в инструменте
• Знаю зачем нужен make и как посмотреть его задачи
• Знаю как настраиваются pod зависимости
• Знаю как можно исправить ошибки при сборке (например, проверяю что make init выполнился успешно)
• Понимаю варианты подписи проекта и их различия",
,Сборка Android,Умею собирать по инструкции,"Умею собирать самостоятельно
• Понимаю разницу в сборках
• Могу установить JVM и задать нужную версию","Хорошо разбираюсь в инструменте
• Понимаю что такое Gradle и как изменить зависимости
• Понимаю какие ошибки происходят при сборке и решаю их
• Могу посмотреть настройки типа сборки и поменять их (например выключить SSL для QA в коде)
• Могу переключать JVM для разных проектов если нужно (обычно не нужно)",
,Сборка Flutter,Умею собирать по инструкции,"Умею собирать самостоятельно
• Понимаю для чего нужен pub get
• Понимаю что можно собрать iOS вариант через терминал не открывая Xcode
• Умею менять версию flutter","Хорошо разбираюсь в инструменте
• Могу изменять зависимости при ошибках (pubspec)
• Умею пользоваться FVM",
Тестирование аналитики,,,,,
,Amplitude для аналитики,"Умею пользоваться
• Умею использовать на уровне своего навыка в Тестировании Аналитики",,,
,AppMetrica для аналитики,"Умею пользоваться
• Умею использовать на уровне своего навыка в Тестировании Аналитики",,,
,AppsFlyer для аналитики,"Умею использовать
• Умею использовать на уровне своего навыка в Тестировании Аналитики",,,
,Firebase для аналитики,"Умею использовать
• Умею использовать на уровне своего навыка в Тестировании Аналитики",,,
,AppGallery для аналитики,"Умею использовать
• Умею использовать на уровне своего навыка в Тестировании Аналитики",,,
,Adjust для аналитики,"Умею использовать
• Умею использовать на уровне своего навыка в Тестировании Аналитики",,,
